2022-08-03 22:01:44.871029 | .top_panel.!button | Я кнопка найти
2022-08-03 22:01:50.950544 | None | Я кнопка удалить
2022-08-03 22:01:51.703219 | None | Я кнопка удалить
2022-08-03 22:01:55.831508 | None | Я кнопка загрузить
2022-08-03 22:01:56.343202 | None | Я кнопка загрузить
2022-08-03 22:01:56.846938 | None | Я кнопка загрузить
2022-08-03 22:01:58.975540 | .top_panel.!button | Я кнопка найти
2022-08-03 22:02:48.705209 | .top_panel.!button | Я кнопка найти
2022-08-03 22:02:49.705289 | .top_panel.!button2 | Я кнопка удалить
2022-08-03 22:02:50.409200 | .top_panel.!button3 | Я кнопка загрузить
2022-08-03 22:02:50.817430 | .top_panel.!button3 | Я кнопка загрузить
2022-08-03 22:02:51.161260 | .top_panel.!button2 | Я кнопка удалить
2022-08-03 22:02:51.649161 | .top_panel.!button | Я кнопка найти
